Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000000025	Isolate	2822370	39	300583	33.06	99.45	1.1	94.96	99.74	99.76	20	GUT_GENOME000106	MGYG000000025	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis	ERS417229	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000025/genomes1/MGYG000000025.gff.gz
MGYG000000026	Isolate	2527406	197	27326	34.16	100	0	74.79	99.61	99.83	20	GUT_GENOME000109	MGYG000000026	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	ERS2046316	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000026/genomes1/MGYG000000026.gff.gz
MGYG000000027	Isolate	2393573	52	109197	58.19	99.81	0.55	94.12	99.74	86.8	20	GUT_GENOME000111	MGYG000000027	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii	ERS852385	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000027/genomes1/MGYG000000027.gff.gz
MGYG000000028	Isolate	2458431	26	229862	36.66	99.33	2.01	0	99.61	99.69	20	GUT_GENOME000113	MGYG000000028	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A	ERS852387	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000028/genomes1/MGYG000000028.gff.gz
MGYG000000029	Isolate	4415875	50	139654	42.18	93.87	0	94.96	99.67	99.56	20	GUT_GENOME000122	MGYG000000029	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii	ERS852397	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000029/genomes1/MGYG000000029.gff.gz
MGYG000000030	Isolate	3025033	36	183902	34.03	99.33	0	0	99.67	99.76	20	GUT_GENOME000128	MGYG000000030	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900066105	ERS852376	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000030/genomes1/MGYG000000030.gff.gz
MGYG000000031	Isolate	3671868	41	160785	43.93	99.37	0.32	82.35	99.67	88.79	20	GUT_GENOME000131	MGYG000000031	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	ERS852405	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000031/genomes1/MGYG000000031.gff.gz
MGYG000000032	Isolate	6969476	95	157466	48.94	99.37	1.58	92.44	99.61	89.2	20	GUT_GENOME000133	MGYG000000032	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	ERS852407	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000032/genomes1/MGYG000000032.gff.gz
MGYG000000033	Isolate	3010191	70	91380	38.23	97.99	1.01	94.96	99.67	99.83	20	GUT_GENOME000136	MGYG000000033	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	ERS852410	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000033/genomes1/MGYG000000033.gff.gz
MGYG000000034	Isolate	2753532	27	287275	47.05	98.66	0.13	94.12	99.61	99.83	20	GUT_GENOME000137	MGYG000000034	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae timonensis	ERS852412	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000034/genomes1/MGYG000000034.gff.gz
MGYG000000035	Isolate	3529525	23	286467	44.91	99.37	1.74	0	99.61	99.66	20	GUT_GENOME000139	MGYG000000035	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica	ERS852414	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000035/genomes1/MGYG000000035.gff.gz
MGYG000000036	Isolate	2411078	29	209319	37.71	99.33	0.34	91.6	99.74	99.86	20	GUT_GENOME000141	MGYG000000036	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Pseudoruminococcus;s__Pseudoruminococcus massiliensis	ERS852416	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000036/genomes1/MGYG000000036.gff.gz
MGYG000000037	Isolate	2730783	112	52534	34.23	91.6	1.84	72.27	99.74	99.83	20	GUT_GENOME000147	MGYG000000037	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp001543345	ERS852422	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000037/genomes1/MGYG000000037.gff.gz
MGYG000000038	Isolate	3124256	51	145632	41.46	99.42	0	0	94.72	87.35	20	GUT_GENOME000149	MGYG000000038	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	ERS852423	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000038/genomes1/MGYG000000038.gff.gz
MGYG000000039	Isolate	2848022	67	96457	57.73	99.32	0	94.12	81.6	96.85	20	GUT_GENOME000152	MGYG000000039	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H	ERS852426	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000039/genomes1/MGYG000000039.gff.gz
MGYG000000040	Isolate	2646772	35	135012	47.78	98.58	2.13	94.12	99.74	99.86	20	GUT_GENOME000159	MGYG000000040	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305	ERS852433	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000040/genomes1/MGYG000000040.gff.gz
MGYG000000041	Isolate	3646137	83	101294	45.85	99.52	1.45	0	99.61	99.83	20	GUT_GENOME000166	MGYG000000041	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365	ERS852440	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000041/genomes1/MGYG000000041.gff.gz
MGYG000000042	Isolate	3613218	51	163040	40.19	97.01	0.12	94.96	99.67	99.59	20	GUT_GENOME000187	MGYG000000042	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900066445	ERS852458	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000042/genomes1/MGYG000000042.gff.gz
MGYG000000043	Isolate	4183533	127	66737	46.41	98.88	0.56	0	99.67	74.63	20	GUT_GENOME000189	MGYG000000043	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900066455	ERS852460	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000043/genomes1/MGYG000000043.gff.gz
MGYG000000044	Isolate	4300426	39	240621	45.3	99.62	0	0	99.67	99.56	20	GUT_GENOME000192	MGYG000000044	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	ERS852463	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000044/genomes1/MGYG000000044.gff.gz
MGYG000000045	Isolate	2722761	46	118377	29.27	99.06	0	68.07	99.67	99.79	20	GUT_GENOME000196	MGYG000000045	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	ERS852467	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000045/genomes1/MGYG000000045.gff.gz
MGYG000000046	Isolate	2558124	69	75738	52.69	99.4	1.2	92.44	99.67	99.79	19	GUT_GENOME000198	MGYG000000046	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera stantonii	ERS852469	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000046/genomes1/MGYG000000046.gff.gz
MGYG000000047	Isolate	3448648	61	142689	28.83	96.77	3.41	95.8	94.26	92.27	20	GUT_GENOME000200	MGYG000000047	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum_A	ERS852471	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000047/genomes1/MGYG000000047.gff.gz
MGYG000000048	Isolate	2457227	32	342082	27.23	98.39	1.29	82.35	99.67	99.83	20	GUT_GENOME000202	MGYG000000048	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P ventriculi	ERS852473	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000048/genomes1/MGYG000000048.gff.gz
MGYG000000049	Isolate	3389401	43	262906	27.61	98.59	0.7	87.39	99.74	99.83	19	GUT_GENOME000203	MGYG000000049	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp900066495	ERS852474	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000049/genomes1/MGYG000000049.gff.gz
MGYG000000050	Isolate	3884369	123	70783	43.13	98.73	1.27	0	99.67	99.66	20	GUT_GENOME000205	MGYG000000050	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066505	ERS852477	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000050/genomes1/MGYG000000050.gff.gz
MGYG000000051	Isolate	3553306	97	93756	49.95	99.37	0.63	84.03	99.61	99.83	20	GUT_GENOME000215	MGYG000000051	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp900066385	ERS852489	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000051/genomes1/MGYG000000051.gff.gz
MGYG000000052	Isolate	3273906	86	90843	43.79	99.33	3.36	82.35	99.61	99.69	20	GUT_GENOME000219	MGYG000000052	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp000508985	ERS2046326	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000052/genomes1/MGYG000000052.gff.gz
MGYG000000053	Isolate	2181722	54	125150	64.75	99.52	0.48	94.96	99.67	99.66	20	GUT_GENOME000220	MGYG000000053	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415	ERS2046327	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000053/genomes1/MGYG000000053.gff.gz
MGYG000000054	Isolate	5213730	199	61670	43.32	98.88	0.09	94.96	99.67	99.59	20	GUT_GENOME000221	MGYG000000054	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens	ERS2046328	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000054/genomes1/MGYG000000054.gff.gz
